frame_processed,x,y,z
356,0.060605,0.141295,1.598118
357,0.060231,0.141270,1.599704
358,0.060081,0.141260,1.600339
359,0.059885,0.141142,1.601466
360,0.059188,0.143084,1.612998
361,0.058599,0.143473,1.619232
362,0.058363,0.143629,1.621726
363,0.058305,0.143706,1.622476
364,0.058239,0.143689,1.623067
365,0.058136,0.143591,1.623909
366,0.058096,0.143553,1.624246
367,0.058079,0.143537,1.624381
368,0.058073,0.143531,1.624435
369,0.058013,0.143464,1.624873
370,0.057961,0.143379,1.625332
371,0.055222,0.146888,1.639490
372,0.054144,0.148296,1.645036
373,0.053814,0.148885,1.646761
374,0.053682,0.149120,1.647450
375,0.053629,0.149215,1.647726
376,0.053608,0.149252,1.647837
377,0.053599,0.149267,1.647881
378,0.053067,0.148954,1.651344
379,0.052647,0.148700,1.653971
380,0.052479,0.148599,1.655022
381,0.052262,0.148511,1.656776
382,0.052178,0.148488,1.657535
383,0.051505,0.147961,1.663604
384,0.051236,0.147750,1.666032
385,0.051128,0.147665,1.667003
386,0.051085,0.147636,1.667416
387,0.051071,0.147626,1.667586
388,0.051065,0.147623,1.667654
389,0.051063,0.147621,1.667681
390,0.053665,0.144938,1.757614
391,0.054706,0.143864,1.793587
392,0.055124,0.143442,1.808026
393,0.055301,0.143292,1.813848
394,0.054707,0.143506,1.823722
395,0.054470,0.143591,1.827673
396,0.054394,0.143576,1.830534
397,0.054475,0.142431,1.836011
398,0.054508,0.141973,1.838202
399,0.054521,0.141789,1.839078
400,0.054526,0.141716,1.839429
401,0.053123,0.142221,1.850502
402,0.052562,0.142423,1.854931
403,0.052337,0.142504,1.856703
404,0.052248,0.142536,1.857411
405,0.052212,0.142549,1.857695
406,0.052197,0.142554,1.857808
407,0.052192,0.142556,1.857853
408,0.052189,0.142557,1.857872
409,0.052232,0.142385,1.859070
410,0.052224,0.142387,1.858730
411,0.052221,0.142388,1.858594
412,0.052220,0.142388,1.858539
413,0.052219,0.142388,1.858517
414,0.052219,0.142388,1.858509
415,0.052219,0.142388,1.858505
416,0.052400,0.141439,1.858517
417,0.052472,0.141059,1.858522
418,0.052501,0.140907,1.858524
419,0.052512,0.140846,1.858525
420,0.052517,0.140822,1.858525
421,0.052519,0.140812,1.858525
422,0.052520,0.140808,1.858525
423,0.052522,0.140821,1.858355
424,0.052318,0.140551,1.861328
425,0.052236,0.140443,1.862517
426,0.052204,0.140400,1.862993
427,0.052024,0.140264,1.867166
428,0.051953,0.140209,1.868835
429,0.052000,0.139825,1.873840
430,0.052019,0.139672,1.875842
431,0.051888,0.140139,1.882123
432,0.051958,0.140281,1.889919
433,0.052049,0.141184,1.898854
434,0.052028,0.141776,1.907690
435,0.051904,0.142064,1.915978
436,0.051842,0.141932,1.923674
437,0.051959,0.142319,1.931950
438,0.051903,0.142055,1.939878
439,0.051461,0.142611,1.949110
440,0.051175,0.143270,1.958340
441,0.050810,0.143416,1.967146
442,0.050840,0.143349,1.975910
443,0.050915,0.143345,1.978950
444,0.051125,0.143915,1.986165
445,0.051094,0.144711,1.995705
446,0.051452,0.144640,2.006596
447,0.051595,0.144611,2.010952
448,0.051652,0.144600,2.012694
449,0.050892,0.145651,2.021471
450,0.050243,0.142177,1.995713
451,0.049540,0.142505,2.033968
452,0.049259,0.142636,2.049270
453,0.048933,0.142664,2.057807
454,0.048505,0.142051,2.073078
455,0.048334,0.141806,2.079186
456,0.047936,0.141648,2.085997
457,0.047683,0.141638,2.093320
458,0.047582,0.141634,2.096250
459,0.047541,0.141633,2.097421
460,0.047855,0.141562,2.102334
461,0.047928,0.141677,2.109152
462,0.048138,0.141992,2.117404
463,0.048148,0.142461,2.125009
464,0.048049,0.142666,2.132746
465,0.048009,0.142748,2.135841
466,0.048167,0.142842,2.143811
467,0.048735,0.140401,2.147213
468,0.048663,0.140978,2.155420
469,0.048416,0.141811,2.165636
470,0.047497,0.142853,2.176301
471,0.045818,0.143757,2.189569
472,0.045087,0.140989,2.195264
473,0.045240,0.141636,2.205546
474,0.044575,0.142913,2.216486
475,0.044690,0.141597,2.221138
476,0.047188,0.144141,2.233397
477,0.048052,0.143933,2.238627
478,0.048347,0.143909,2.241565
479,0.048454,0.144967,2.248260
480,0.048497,0.145391,2.250939
481,0.048072,0.143372,2.252673
482,0.048300,0.144028,2.259163
483,0.048391,0.144291,2.261759
484,0.048150,0.145177,2.268539
485,0.047493,0.146492,2.275244
486,0.047165,0.148221,2.283098
487,0.047235,0.149693,2.292153
488,0.046768,0.150923,2.299468
489,0.046789,0.152960,2.307828
490,0.046491,0.151953,2.311788
491,0.045895,0.152128,2.316236
492,0.045839,0.153551,2.323368
493,0.046130,0.156018,2.331812
494,0.046170,0.157687,2.339459
495,0.046012,0.159315,2.346478
496,0.046266,0.162331,2.354247
497,0.046498,0.164482,2.362594
498,0.046339,0.166490,2.370074
499,0.046196,0.168139,2.377541
500,0.046166,0.169719,2.385221
501,0.046129,0.171789,2.393012
502,0.046046,0.173192,2.400292
503,0.045889,0.174514,2.407101
504,0.046045,0.175939,2.414652
505,0.045952,0.177560,2.421847
506,0.046032,0.179465,2.428972
507,0.046180,0.181713,2.436703
508,0.046293,0.183778,2.444381
509,0.046090,0.185792,2.452094
510,0.045778,0.188127,2.459992
511,0.045702,0.190385,2.468133
512,0.045531,0.192725,2.476276
513,0.045430,0.195185,2.484949
514,0.045350,0.197954,2.494389
